t,v1,v2
-0.00092,-2.32,0.16
-0.000918,-2.32,0.08
-0.000916,-2.4,0.08
-0.000914,-2.4,0.08
-0.000912,-2.4,0.08
-0.00091,-2.4,0.08
-0.000908,-2.32,0.16
-0.000906,-2.32,0.16
-0.000904,-2.24,0.08
-0.000902,-2.32,0.08
-0.0009,-2.24,0.16
-0.000898,-2.32,0.16
-0.000896,-2.4,0.16
-0.000894,-2.48,0.16
-0.000892,-2.48,0.16
-0.00089,-2.56,0.16
-0.000888,-2.48,0.16
-0.000886,-2.4,0.16
-0.000884,-2.32,0.16
-0.000882,-2.32,0.16
-0.00088,-2.24,0.16
-0.000878,-2.24,0.16
-0.000876,-2.32,0.16
-0.000874,-2.32,0.24
-0.000872,-2.4,0.24
-0.00087,-2.48,0.24
-0.000868,-2.48,0.16
-0.000866,-2.4,0.16
-0.000864,-2.32,0.16
-0.000862,-2.24,0.16
-0.00086,-2.16,0.16
-0.000858,-2.16,0.16
-0.000856,-2.16,0.16
-0.000854,-2.24,0.24
-0.000852,-2.32,0.16
-0.00085,-2.32,0.16
-0.000848,-2.4,0.16
-0.000846,-2.32,0.16
-0.000844,-2.32,0.16
-0.000842,-2.24,0.16
-0.00084,-2.24,0.16
-0.000838,-2.24,0.16
-0.000836,-2.24,0.08
-0.000834,-2.24,0.08
-0.000832,-2.32,0.16
-0.00083,-2.32,0.16
-0.000828,-2.4,0.16
-0.000826,-2.4,0.08
-0.000824,-2.32,0.08
-0.000822,-2.32,0.16
-0.00082,-2.24,0.16
-0.000818,-2.24,0.16
-0.000816,-2.24,0.16
-0.000814,-2.24,0.16
-0.000812,-2.32,0.24
-0.00081,-2.32,0.24
-0.000808,-2.4,0.24
-0.000806,-2.32,0.24
-0.000804,-2.4,0.24
-0.000802,-2.32,0.16
-0.0008,-2.32,0.16
-0.000798,-2.24,0.16
-0.000796,-2.24,0.16
-0.000794,-2.16,0.16
-0.000792,-2.24,0.16
-0.00079,-2.32,0.16
-0.000788,-2.32,0.16
-0.000786,-2.48,0.16
-0.000784,-2.48,0.16
-0.000782,-2.48,0.16
-0.00078,-2.48,0.16
-0.000778,-2.4,0.16
-0.000776,-2.32,0.16
-0.000774,-2.24,0.16
-0.000772,-2.24,0.16
-0.00077,-2.32,0.16
-0.000768,-2.4,0.16
-0.000766,-2.4,0.16
-0.000764,-2.48,0.16
-0.000762,-2.48,0.16
-0.00076,-2.48,0.16
-0.000758,-2.4,0.16
-0.000756,-2.32,0.16
-0.000754,-2.32,0.16
-0.000752,-2.32,0.16
-0.00075,-2.32,0.16
-0.000748,-2.32,0.24
-0.000746,-2.48,0.16
-0.000744,-2.48,0.16
-0.000742,-2.48,0.16
-0.00074,-2.48,0.24
-0.000738,-2.4,0.16
-0.000736,-2.32,0.16
-0.000734,-2.32,0.16
-0.000732,-2.24,0.16
-0.00073,-2.24,0.24
-0.000728,-2.24,0.16
-0.000726,-2.32,0.16
-0.000724,-2.4,0.16
-0.000722,-2.48,0.08
-0.00072,-2.48,0.16
-0.000718,-2.48,0.08
-0.000716,-2.48,0.16
-0.000714,-2.4,0.16
-0.000712,-2.32,0.16
-0.00071,-2.32,0.16
-0.000708,-2.32,0.16
-0.000706,-2.32,0.16
-0.000704,-2.4,0.16
