t,v1,v2
-0.00104,-0.64,0.08
-0.001038,-0.64,0.08
-0.001036,-0.64,0.08
-0.001034,-0.64,0.08
-0.001032,-0.64,0.16
-0.00103,-0.64,0.08
-0.001028,-0.64,0.08
-0.001026,-0.64,0.08
-0.001024,-0.64,0.08
-0.001022,-0.6,0.16
-0.00102,-0.6,0.08
-0.001018,-0.6,0.16
-0.001016,-0.56,0.16
-0.001014,-0.56,0.08
-0.001012,-0.56,0.08
-0.00101,-0.6,0.08
-0.001008,-0.6,0.08
-0.001006,-0.6,0.08
-0.001004,-0.56,0.08
-0.001002,-0.6,0.08
-0.001,-0.6,0.08
-0.000998,-0.6,0.08
-0.000996,-0.56,0.08
-0.000994,-0.56,0.08
-0.000992,-0.6,0.08
-0.00099,-0.56,0.08
-0.000988,-0.64,0.08
-0.000986,-0.64,0.08
-0.000984,-0.64,0.16
-0.000982,-0.6,0.16
-0.00098,-0.64,0.16
-0.000978,-0.6,0.16
-0.000976,-0.6,0.08
-0.000974,-0.6,0.16
-0.000972,-0.6,0.08
-0.00097,-0.56,0.08
-0.000968,-0.6,0.08
-0.000966,-0.6,0.08
-0.000964,-0.6,0.08
-0.000962,-0.56,0.08
-0.00096,-0.6,0.08
-0.000958,-0.6,0.16
-0.000956,-0.56,0.16
-0.000954,-0.56,0.16
-0.000952,-0.56,0.08
-0.00095,-0.6,0.08
-0.000948,-0.56,0.08
-0.000946,-0.56,0.08
-0.000944,-0.56,0.08
-0.000942,-0.6,0.08
-0.00094,-0.6,0.08
-0.000938,-0.6,0.08
-0.000936,-0.56,0.08
-0.000934,-0.56,0.08
-0.000932,-0.56,0.08
-0.00093,-0.56,0
-0.000928,-0.56,0.08
-0.000926,-0.56,0.08
-0.000924,-0.6,0.08
-0.000922,-0.6,0.08
-0.00092,-0.6,0.08
-0.000918,-0.6,0.08
-0.000916,-0.64,0.08
-0.000914,-0.6,0.08
-0.000912,-0.6,0.08
-0.00091,-0.64,0
-0.000908,-0.6,0
-0.000906,-0.6,0.08
-0.000904,-0.6,0.08
-0.000902,-0.6,0.08
-0.0009,-0.6,0.08
-0.000898,-0.6,0.08
-0.000896,-0.6,0.08
-0.000894,-0.6,0.08
-0.000892,-0.6,0.08
-0.00089,-0.6,0.08
-0.000888,-0.6,0.08
-0.000886,-0.6,0.08
-0.000884,-0.56,0.08
-0.000882,-0.56,0.08
-0.00088,-0.56,0.08
-0.000878,-0.6,0.08
-0.000876,-0.6,0.08
-0.000874,-0.56,0.08
-0.000872,-0.56,0.08
-0.00087,-0.56,0.08
-0.000868,-0.56,0.08
-0.000866,-0.52,0.08
-0.000864,-0.56,0.08
-0.000862,-0.56,0.08
-0.00086,-0.56,0.08
-0.000858,-0.56,0.08
-0.000856,-0.56,0.08
-0.000854,-0.6,0.08
-0.000852,-0.56,0.08
-0.00085,-0.56,0.08
-0.000848,-0.56,0.08
-0.000846,-0.56,0.08
-0.000844,-0.56,0.08
-0.000842,-0.56,0.08
-0.00084,-0.56,0.08
-0.000838,-0.56,0.08
-0.000836,-0.56,0.08
-0.000834,-0.6,0.08
-0.000832,-0.64,0.08
-0.00083,-0.64,0.08
-0.000828,-0.64,0.08
-0.000826,-0.56,0.08
-0.000824,-0.56,0.08
-0.000822,-0.56,0.08
-0.00082,-0.6,0.08
-0.000818,-0.6,0.08
-0.000816,-0.6,0.08
-0.000814,-0.6,0.16
-0.000812,-0.6,0.08
-0.00081,-0.6,0.08
-0.000808,-0.6,0.08
-0.000806,-0.6,0.08
-0.000804,-0.56,0.08
-0.000802,-0.56,0.08
-0.0008,-0.56,0.08
-0.000798,-0.52,0.08
-0.000796,-0.56,0.08
-0.000794,-0.6,0.08
-0.000792,-0.56,0.08
-0.00079,-0.6,0.08
-0.000788,-0.6,0.08
-0.000786,-0.6,0.08
-0.000784,-0.56,0.08
-0.000782,-0.56,0.08
-0.00078,-0.56,0.08
-0.000778,-0.56,0.08
-0.000776,-0.56,0.08
-0.000774,-0.6,0.08
-0.000772,-0.56,0.08
-0.00077,-0.6,0.08
-0.000768,-0.6,0.08
-0.000766,-0.6,0.08
-0.000764,-0.6,0.08
-0.000762,-0.56,0.16
-0.00076,-0.6,0.08
-0.000758,-0.56,0.08
-0.000756,-0.6,0.08
-0.000754,-0.6,0.08
-0.000752,-0.56,0
-0.00075,-0.6,0.08
-0.000748,-0.6,0.08
-0.000746,-0.6,0.08
-0.000744,-0.6,0.08
-0.000742,-0.56,0.08
-0.00074,-0.56,0.08
-0.000738,-0.56,0.08
-0.000736,-0.56,0.08
-0.000734,-0.56,0.08
-0.000732,-0.56,0.08
-0.00073,-0.56,0.08
-0.000728,-0.56,0.08
-0.000726,-0.6,0.08
-0.000724,-0.6,0.08
-0.000722,-0.56,0.08
-0.00072,-0.56,0
-0.000718,-0.56,0.08
-0.000716,-0.56,0.08
-0.000714,-0.56,0.08
-0.000712,-0.56,0.08
-0.00071,-0.56,0
-0.000708,-0.64,0.08
-0.000706,-0.64,0.08
-0.000704,-0.64,0.08
-0.000702,-0.6,0.08
-0.0007,-0.56,0.08
-0.000698,-0.56,0.08
-0.000696,-0.56,0.08
-0.000694,-0.52,0.08
-0.000692,-0.56,0.08
-0.00069,-0.52,0.08
-0.000688,-0.56,0.08
-0.000686,-0.6,0.08
-0.000684,-0.6,0.08
-0.000682,-0.6,0.08
-0.00068,-0.6,0.08
-0.000678,-0.6,0.08
-0.000676,-0.56,0.08
-0.000674,-0.56,0.08
-0.000672,-0.52,0.08
-0.00067,-0.56,0.08
-0.000668,-0.56,0.08
-0.000666,-0.56,0.08
-0.000664,-0.56,0.08
-0.000662,-0.56,0.08
-0.00066,-0.56,0.08
-0.000658,-0.56,0.08
-0.000656,-0.56,0.08
-0.000654,-0.56,0.08
-0.000652,-0.56,0.08
-0.00065,-0.56,0.08
-0.000648,-0.56,0.08
-0.000646,-0.56,0.08
-0.000644,-0.56,0.08
-0.000642,-0.6,0.08
-0.00064,-0.6,0.16
-0.000638,-0.6,0.08
-0.000636,-0.56,0.16
-0.000634,-0.6,0.08
-0.000632,-0.6,0.08
-0.00063,-0.56,0.08
-0.000628,-0.56,0.08
-0.000626,-0.56,0.08
-0.000624,-0.56,0.08
-0.000622,-0.6,0.08
-0.00062,-0.6,0.08
-0.000618,-0.6,0.08
-0.000616,-0.56,0.08
-0.000614,-0.56,0.08
-0.000612,-0.56,0.08
-0.00061,-0.52,0.08
-0.000608,-0.56,0.08
-0.000606,-0.52,0.08
-0.000604,-0.56,0.08
-0.000602,-0.56,0.16
-0.0006,-0.56,0.08
-0.000598,-0.56,0.08
-0.000596,-0.6,0.16
-0.000594,-0.6,0.08
-0.000592,-0.56,0
-0.00059,-0.56,0.08
-0.000588,-0.56,0.08
-0.000586,-0.56,0.08
-0.000584,-0.56,0.16
-0.000582,-0.52,0.08
-0.00058,-0.56,0.08
-0.000578,-0.56,0.08
-0.000576,-0.56,0.08
-0.000574,-0.56,0.08
-0.000572,-0.56,0.08
-0.00057,-0.56,0.08
-0.000568,-0.52,0.08
-0.000566,-0.56,0.08
-0.000564,-0.52,0.08
-0.000562,-0.56,0.08
-0.00056,-0.56,0.08
-0.000558,-0.56,0.08
-0.000556,-0.6,0.08
-0.000554,-0.6,0.08
-0.000552,-0.6,0.08
-0.00055,-0.6,0.08
-0.000548,-0.56,0.08
-0.000546,-0.6,0.08
-0.000544,-0.56,0.08
-0.000542,-0.6,0.08
-0.00054,-0.56,0.08
-0.000538,-0.6,0.08
-0.000536,-0.6,0.08
-0.000534,-0.6,0.08
-0.000532,-0.6,0.08
-0.00053,-0.6,0.08
-0.000528,-0.6,0.08
-0.000526,-0.6,0.08
-0.000524,-0.56,0.08
-0.000522,-0.6,0.08
-0.00052,-0.6,0.08
-0.000518,-0.6,0.16
-0.000516,-0.6,0.16
-0.000514,-0.56,0.08
-0.000512,-0.56,0.08
-0.00051,-0.6,0.08
-0.000508,-0.6,0.08
-0.000506,-0.56,0.08
-0.000504,-0.56,0
-0.000502,-0.52,0.08
-0.0005,-0.56,0
-0.000498,-0.56,0.08
-0.000496,-0.56,0
-0.000494,-0.56,0
-0.000492,-0.6,0.08
-0.00049,-0.56,0.08
-0.000488,-0.6,0
-0.000486,-0.6,0.08
-0.000484,-0.6,0.08
-0.000482,-0.6,0.08
-0.00048,-0.56,0.08
-0.000478,-0.56,0.08
-0.000476,-0.6,0.08
-0.000474,-0.56,0.08
-0.000472,-0.6,0.08
-0.00047,-0.6,0.08
-0.000468,-0.64,0.08
-0.000466,-0.6,0.16
-0.000464,-0.6,0.08
-0.000462,-0.6,0.16
-0.00046,-0.56,0.16
-0.000458,-0.56,0.16
-0.000456,-0.52,0.16
-0.000454,-0.52,0.08
-0.000452,-0.56,0.08
-0.00045,-0.52,0.08
-0.000448,-0.56,0.08
-0.000446,-0.56,0.08
-0.000444,-0.56,0.08
-0.000442,-0.52,0.08
-0.00044,-0.52,0.08
-0.000438,-0.52,0.08
-0.000436,-0.56,0.08
-0.000434,-0.56,0.16
-0.000432,-0.56,0.08
-0.00043,-0.56,0.16
-0.000428,-0.56,0.08
-0.000426,-0.56,0.08
-0.000424,-0.56,0.08
-0.000422,-0.56,0.08
-0.00042,-0.56,0.08
-0.000418,-0.56,0.08
-0.000416,-0.56,0.08
-0.000414,-0.56,0.08
-0.000412,-0.56,0
-0.00041,-0.56,0.08
-0.000408,-0.56,0.08
-0.000406,-0.56,0.08
-0.000404,-0.56,0.08
