t,v1,v2
-0.00084,-0.36,0.12
-0.000838,-0.36,0.12
-0.000836,-0.36,0.16
-0.000834,-0.36,0.12
-0.000832,-0.36,0.16
-0.00083,-0.36,0.16
-0.000828,-0.36,0.12
-0.000826,-0.36,0.16
-0.000824,-0.36,0.12
-0.000822,-0.36,0.12
-0.00082,-0.36,0.12
-0.000818,-0.36,0.12
-0.000816,-0.36,0.12
-0.000814,-0.32,0.08
-0.000812,-0.36,0.12
-0.00081,-0.32,0.12
-0.000808,-0.32,0.12
-0.000806,-0.32,0.12
-0.000804,-0.32,0.16
-0.000802,-0.36,0.16
-0.0008,-0.36,0.16
-0.000798,-0.36,0.16
-0.000796,-0.4,0.16
-0.000794,-0.36,0.12
-0.000792,-0.4,0.08
-0.00079,-0.4,0.12
-0.000788,-0.36,0.12
-0.000786,-0.36,0.12
-0.000784,-0.4,0.12
-0.000782,-0.36,0.12
-0.00078,-0.4,0.12
-0.000778,-0.4,0.12
-0.000776,-0.4,0.12
-0.000774,-0.4,0.16
-0.000772,-0.4,0.12
-0.00077,-0.4,0.12
-0.000768,-0.36,0.12
-0.000766,-0.4,0.16
-0.000764,-0.4,0.12
-0.000762,-0.4,0.12
-0.00076,-0.4,0.16
-0.000758,-0.4,0.12
-0.000756,-0.4,0.16
-0.000754,-0.36,0.12
-0.000752,-0.36,0.12
-0.00075,-0.36,0.16
-0.000748,-0.32,0.12
-0.000746,-0.28,0.12
-0.000744,-0.28,0.08
-0.000742,-0.28,0.12
-0.00074,-0.32,0.12
-0.000738,-0.32,0.08
-0.000736,-0.36,0.12
-0.000734,-0.36,0.16
-0.000732,-0.36,0.16
-0.00073,-0.32,0.16
-0.000728,-0.32,0.12
-0.000726,-0.36,0.12
-0.000724,-0.32,0.12
-0.000722,-0.32,0.16
-0.00072,-0.32,0.16
-0.000718,-0.32,0.16
-0.000716,-0.36,0.16
-0.000714,-0.36,0.16
-0.000712,-0.36,0.16
-0.00071,-0.36,0.16
-0.000708,-0.36,0.16
-0.000706,-0.36,0.12
-0.000704,-0.36,0.12
-0.000702,-0.36,0.12
-0.0007,-0.36,0.12
-0.000698,-0.36,0.12
-0.000696,-0.32,0.12
-0.000694,-0.36,0.12
-0.000692,-0.36,0.16
-0.00069,-0.36,0.12
-0.000688,-0.36,0.12
-0.000686,-0.36,0.12
-0.000684,-0.36,0.12
-0.000682,-0.36,0.12
-0.00068,-0.36,0.12
-0.000678,-0.36,0.12
-0.000676,-0.36,0.12
-0.000674,-0.36,0.16
-0.000672,-0.36,0.16
-0.00067,-0.4,0.16
-0.000668,-0.4,0.16
-0.000666,-0.44,0.16
-0.000664,-0.44,0.2
-0.000662,-0.4,0.16
-0.00066,-0.4,0.2
-0.000658,-0.4,0.16
-0.000656,-0.4,0.16
-0.000654,-0.4,0.16
-0.000652,-0.4,0.16
-0.00065,-0.4,0.2
-0.000648,-0.4,0.2
-0.000646,-0.4,0.2
-0.000644,-0.4,0.2
-0.000642,-0.4,0.2
-0.00064,-0.4,0.2
-0.000638,-0.36,0.16
-0.000636,-0.4,0.2
-0.000634,-0.4,0.16
-0.000632,-0.4,0.16
-0.00063,-0.4,0.2
-0.000628,-0.4,0.2
-0.000626,-0.4,0.16
-0.000624,-0.4,0.16
-0.000622,-0.36,0.2
-0.00062,-0.36,0.2
-0.000618,-0.36,0.2
-0.000616,-0.36,0.2
-0.000614,-0.36,0.16
-0.000612,-0.32,0.16
-0.00061,-0.32,0.16
-0.000608,-0.36,0.16
-0.000606,-0.36,0.12
-0.000604,-0.36,0.12
-0.000602,-0.36,0.16
-0.0006,-0.32,0.16
-0.000598,-0.32,0.16
-0.000596,-0.32,0.12
-0.000594,-0.36,0.08
-0.000592,-0.32,0.08
-0.00059,-0.32,0.08
-0.000588,-0.32,0.08
-0.000586,-0.32,0.08
-0.000584,-0.36,0.12
-0.000582,-0.36,0.12
-0.00058,-0.32,0.12
-0.000578,-0.32,0.12
-0.000576,-0.32,0.16
-0.000574,-0.32,0.16
-0.000572,-0.32,0.16
-0.00057,-0.36,0.16
-0.000568,-0.32,0.16
-0.000566,-0.32,0.16
-0.000564,-0.36,0.12
-0.000562,-0.36,0.12
-0.00056,-0.36,0.12
-0.000558,-0.36,0.12
-0.000556,-0.36,0.12
-0.000554,-0.36,0.12
-0.000552,-0.32,0.16
-0.00055,-0.36,0.16
-0.000548,-0.32,0.16
-0.000546,-0.36,0.16
-0.000544,-0.36,0.16
-0.000542,-0.36,0.12
-0.00054,-0.36,0.12
-0.000538,-0.36,0.16
-0.000536,-0.36,0.12
-0.000534,-0.36,0.16
-0.000532,-0.36,0.16
-0.00053,-0.36,0.12
-0.000528,-0.36,0.12
-0.000526,-0.36,0.12
-0.000524,-0.4,0.08
-0.000522,-0.4,0.12
-0.00052,-0.4,0.12
-0.000518,-0.4,0.12
-0.000516,-0.4,0.12
-0.000514,-0.36,0.12
-0.000512,-0.4,0.12
-0.00051,-0.36,0.12
-0.000508,-0.32,0.12
-0.000506,-0.32,0.16
-0.000504,-0.32,0.12
-0.000502,-0.36,0.12
-0.0005,-0.36,0.12
-0.000498,-0.36,0.12
-0.000496,-0.4,0.12
-0.000494,-0.4,0.12
-0.000492,-0.4,0.16
-0.00049,-0.36,0.16
-0.000488,-0.36,0.16
-0.000486,-0.36,0.12
-0.000484,-0.36,0.12
-0.000482,-0.36,0.12
-0.00048,-0.32,0.12
-0.000478,-0.32,0.12
-0.000476,-0.36,0.12
-0.000474,-0.32,0.12
-0.000472,-0.36,0.16
-0.00047,-0.36,0.12
-0.000468,-0.36,0.12
-0.000466,-0.36,0.12
-0.000464,-0.36,0.12
-0.000462,-0.36,0.12
-0.00046,-0.36,0.12
-0.000458,-0.36,0.16
-0.000456,-0.36,0.16
-0.000454,-0.36,0.16
-0.000452,-0.36,0.16
-0.00045,-0.36,0.16
-0.000448,-0.36,0.16
-0.000446,-0.32,0.12
-0.000444,-0.32,0.12
-0.000442,-0.36,0.12
-0.00044,-0.36,0.12
-0.000438,-0.36,0.12
-0.000436,-0.36,0.12
-0.000434,-0.36,0.12
-0.000432,-0.36,0.12
-0.00043,-0.36,0.12
-0.000428,-0.36,0.16
-0.000426,-0.36,0.12
-0.000424,-0.36,0.16
-0.000422,-0.36,0.16
-0.00042,-0.36,0.16
-0.000418,-0.36,0.16
-0.000416,-0.4,0.16
-0.000414,-0.4,0.16
-0.000412,-0.4,0.16
-0.00041,-0.4,0.16
-0.000408,-0.4,0.16
-0.000406,-0.36,0.16
-0.000404,-0.36,0.16
-0.000402,-0.36,0.16
-0.0004,-0.36,0.16
-0.000398,-0.36,0.16
-0.000396,-0.4,0.16
-0.000394,-0.4,0.12
-0.000392,-0.4,0.16
-0.00039,-0.4,0.16
-0.000388,-0.4,0.16
-0.000386,-0.36,0.12
-0.000384,-0.36,0.16
-0.000382,-0.36,0.16
-0.00038,-0.32,0.12
-0.000378,-0.36,0.16
-0.000376,-0.36,0.16
-0.000374,-0.32,0.16
-0.000372,-0.32,0.16
-0.00037,-0.36,0.16
-0.000368,-0.36,0.16
-0.000366,-0.36,0.16
-0.000364,-0.36,0.2
-0.000362,-0.36,0.2
-0.00036,-0.4,0.16
-0.000358,-0.36,0.2
-0.000356,-0.36,0.16
-0.000354,-0.36,0.12
-0.000352,-0.4,0.12
-0.00035,-0.4,0.12
-0.000348,-0.4,0.12
-0.000346,-0.4,0.16
-0.000344,-0.4,0.16
-0.000342,-0.4,0.16
-0.00034,-0.4,0.16
-0.000338,-0.36,0.16
-0.000336,-0.4,0.12
-0.000334,-0.36,0.12
-0.000332,-0.36,0.16
-0.00033,-0.4,0.16
-0.000328,-0.4,0.16
-0.000326,-0.36,0.12
-0.000324,-0.36,0.16
-0.000322,-0.36,0.16
-0.00032,-0.32,0.16
-0.000318,-0.28,0.12
-0.000316,-0.28,0.12
-0.000314,-0.28,0.12
-0.000312,-0.28,0.12
-0.00031,-0.32,0.12
-0.000308,-0.32,0.12
-0.000306,-0.36,0.12
-0.000304,-0.36,0.12
-0.000302,-0.36,0.16
-0.0003,-0.36,0.16
-0.000298,-0.36,0.16
-0.000296,-0.36,0.16
-0.000294,-0.36,0.16
-0.000292,-0.36,0.2
-0.00029,-0.36,0.2
-0.000288,-0.36,0.2
-0.000286,-0.36,0.2
-0.000284,-0.36,0.2
-0.000282,-0.36,0.2
-0.00028,-0.36,0.2
-0.000278,-0.36,0.2
-0.000276,-0.36,0.2
-0.000274,-0.36,0.2
-0.000272,-0.32,0.2
-0.00027,-0.36,0.2
-0.000268,-0.36,0.16
-0.000266,-0.4,0.16
-0.000264,-0.4,0.16
-0.000262,-0.4,0.16
-0.00026,-0.4,0.12
-0.000258,-0.36,0.16
-0.000256,-0.36,0.16
-0.000254,-0.36,0.12
-0.000252,-0.36,0.12
-0.00025,-0.36,0.16
-0.000248,-0.32,0.16
-0.000246,-0.32,0.12
-0.000244,-0.32,0.12
-0.000242,-0.32,0.12
-0.00024,-0.36,0.12
-0.000238,-0.36,0.12
-0.000236,-0.36,0.12
-0.000234,-0.36,0.12
-0.000232,-0.36,0.12
-0.00023,-0.36,0.16
-0.000228,-0.32,0.16
-0.000226,-0.36,0.16
-0.000224,-0.32,0.16
-0.000222,-0.32,0.16
-0.00022,-0.32,0.16
-0.000218,-0.32,0.16
-0.000216,-0.32,0.16
-0.000214,-0.32,0.16
-0.000212,-0.32,0.16
-0.00021,-0.32,0.12
-0.000208,-0.32,0.16
-0.000206,-0.32,0.2
-0.000204,-0.32,0.16
-0.000202,-0.36,0.16
-0.0002,-0.36,0.16
-0.000198,-0.36,0.12
-0.000196,-0.36,0.12
-0.000194,-0.36,0.12
-0.000192,-0.36,0.16
-0.00019,-0.36,0.16
-0.000188,-0.32,0.12
-0.000186,-0.32,0.12
-0.000184,-0.32,0.16
-0.000182,-0.32,0.12
-0.00018,-0.36,0.12
-0.000178,-0.36,0.12
-0.000176,-0.36,0.12
-0.000174,-0.36,0.12
-0.000172,-0.36,0.12
-0.00017,-0.36,0.12
-0.000168,-0.32,0.12
-0.000166,-0.32,0.12
-0.000164,-0.32,0.12
-0.000162,-0.32,0.12
-0.00016,-0.36,0.12
-0.000158,-0.36,0.08
-0.000156,-0.32,0.12
-0.000154,-0.36,0.08
-0.000152,-0.36,0.12
-0.00015,-0.36,0.12
-0.000148,-0.36,0.16
-0.000146,-0.36,0.16
-0.000144,-0.32,0.16
-0.000142,-0.32,0.16
-0.00014,-0.32,0.16
-0.000138,-0.32,0.16
-0.000136,-0.32,0.16
-0.000134,-0.36,0.16
-0.000132,-0.32,0.16
-0.00013,-0.36,0.16
-0.000128,-0.32,0.16
-0.000126,-0.32,0.16
-0.000124,-0.32,0.16
-0.000122,-0.28,0.16
-0.00012,-0.28,0.16
-0.000118,-0.28,0.16
-0.000116,-0.32,0.16
-0.000114,-0.36,0.16
-0.000112,-0.36,0.2
-0.00011,-0.36,0.2
-0.000108,-0.36,0.16
-0.000106,-0.36,0.16
-0.000104,-0.36,0.16
-0.000102,-0.32,0.16
-0.0001,-0.32,0.16
-9.8e-005,-0.32,0.16
-9.6e-005,-0.32,0.16
-9.4e-005,-0.28,0.16
-9.2e-005,-0.32,0.12
-9e-005,-0.32,0.12
-8.8e-005,-0.32,0.12
-8.6e-005,-0.32,0.12
-8.4e-005,-0.32,0.16
-8.2e-005,-0.32,0.16
-8e-005,-0.36,0.12
-7.8e-005,-0.36,0.16
-7.6e-005,-0.36,0.12
-7.4e-005,-0.36,0.16
-7.2e-005,-0.4,0.16
-7e-005,-0.36,0.16
-6.8e-005,-0.4,0.16
-6.6e-005,-0.4,0.16
-6.4e-005,-0.36,0.16
-6.2e-005,-0.36,0.2
-6e-005,-0.36,0.16
-5.8e-005,-0.36,0.16
-5.6e-005,-0.36,0.16
-5.4e-005,-0.32,0.12
-5.2e-005,-0.32,0.16
-5e-005,-0.32,0.16
-4.8e-005,-0.32,0.16
-4.6e-005,-0.36,0.16
-4.4e-005,-0.32,0.12
-4.2e-005,-0.32,0.12
-4e-005,-0.32,0.12
-3.8e-005,-0.32,0.16
-3.6e-005,-0.32,0.16
-3.4e-005,-0.32,0.16
-3.2e-005,-0.36,0.12
-3e-005,-0.36,0.12
-2.8e-005,-0.36,0.12
-2.6e-005,-0.36,0.16
-2.4e-005,-0.36,0.16
-2.2e-005,-0.36,0.16
-2e-005,-0.36,0.2
-1.8e-005,-0.36,0.2
-1.6e-005,-0.36,0.16
-1.4e-005,-0.36,0.2
-1.2e-005,-0.36,0.16
-1e-005,-0.36,0.16
-8e-006,-5.6,-4.56
-6e-006,-5.6,-4.56
-4e-006,-5.6,-4.56
-2e-006,-5.6,-4.56
-1.0842e-019,-5.6,-4.56
2e-006,-5.6,5.6
4e-006,-5.6,5.6
6e-006,-5.6,5.6
8e-006,-5.6,5.6
1e-005,-5.6,5.6
1.2e-005,-5.6,5.6
1.4e-005,-5.6,5.6
1.6e-005,-5.6,5.6
1.8e-005,-5.6,5.6
2e-005,-5.6,5.6
2.2e-005,-5.6,5.6
2.4e-005,-5.6,5.6
2.6e-005,-5.6,5.6
2.8e-005,-5.6,5.6
3e-005,-5.6,5.6
3.2e-005,-5.6,5.6
3.4e-005,-5.6,5.6
3.6e-005,-5.6,5.6
3.8e-005,-5.6,5.6
4e-005,-5.6,5.6
4.2e-005,-5.6,5.6
4.4e-005,-5.6,5.6
4.6e-005,-5.6,5.6
4.8e-005,-5.6,5.6
5e-005,-5.6,5.6
5.2e-005,-5.6,5.6
5.4e-005,-5.6,5.6
5.6e-005,-5.6,5.6
5.8e-005,-5.6,5.6
6e-005,-5.6,5.6
6.2e-005,-5.6,5.6
6.4e-005,-5.6,5.6
6.6e-005,-5.6,5.6
6.8e-005,-5.6,5.6
7e-005,-5.6,5.6
7.2e-005,-5.6,5.6
7.4e-005,-5.6,5.6
7.6e-005,-5.6,5.6
7.8e-005,-5.6,5.6
8e-005,-5.6,5.6
8.2e-005,-5.6,5.6
8.4e-005,-5.6,3.92
8.6e-005,-5.6,2.68
8.8e-005,-5.6,1.72
9e-005,-5.6,1
9.2e-005,-5.6,0.56
9.4e-005,-5.6,0.28
9.6e-005,-4.28,0.2
9.8e-005,-2.92,0.24
0.0001,-1.8,0.4
0.000102,-0.92,0.64
0.000104,-0.16,0.88
0.000106,0.44,1.16
0.000108,0.96,1.48
0.00011,1.36,1.76
0.000112,1.72,2.08
0.000114,1.96,2.32
0.000116,2.2,2.52
0.000118,2.36,2.72
0.00012,2.48,2.92
0.000122,2.56,3.08
0.000124,2.56,3.16
0.000126,2.6,3.24
0.000128,2.6,3.36
0.00013,2.6,3.36
0.000132,2.52,3.4
0.000134,2.52,3.44
0.000136,2.44,3.44
0.000138,2.4,3.48
0.00014,2.32,3.52
0.000142,2.24,3.52
0.000144,2.16,3.56
0.000146,2.08,3.56
0.000148,2.04,3.56
0.00015,1.96,3.6
0.000152,1.88,3.6
0.000154,1.8,3.64
0.000156,1.72,3.64
0.000158,1.64,3.68
0.00016,1.6,3.76
0.000162,1.48,3.76
0.000164,1.44,3.8
0.000166,1.36,3.84
0.000168,1.28,3.88
0.00017,1.2,3.92
0.000172,1.2,4
0.000174,1.16,4
0.000176,1.08,4.04
0.000178,1.04,4.08
0.00018,0.96,4.08
0.000182,0.88,4.12
0.000184,0.8,4.12
0.000186,0.76,4.16
0.000188,0.64,4.2
0.00019,0.6,4.2
0.000192,0.48,4.24
0.000194,0.4,4.28
0.000196,0.36,4.28
0.000198,0.28,4.32
0.0002,0.16,4.32
0.000202,0.12,4.32
0.000204,0.04,4.32
0.000206,-0.04,4.32
0.000208,-0.12,4.32
0.00021,-0.24,4.36
0.000212,-0.28,4.36
0.000214,-0.36,4.36
0.000216,-0.44,4.36
0.000218,-0.52,4.36
0.00022,-0.6,4.4
0.000222,-0.68,4.36
0.000224,-0.72,4.4
0.000226,-0.84,4.4
0.000228,-0.88,4.36
0.00023,-0.96,4.36
0.000232,-1.08,4.36
0.000234,-1.16,4.36
0.000236,-1.24,4.36
0.000238,-1.28,4.32
0.00024,-1.36,4.28
0.000242,-1.44,4.28
0.000244,-1.52,4.24
0.000246,-1.56,4.24
0.000248,-1.64,4.2
0.00025,-1.76,4.2
0.000252,-1.84,4.12
0.000254,-1.92,4.08
0.000256,-2.04,4.04
0.000258,-2.12,4.04
0.00026,-2.16,4
0.000262,-2.24,3.96
0.000264,-2.28,3.88
0.000266,-2.36,3.84
0.000268,-2.44,3.8
0.00027,-2.52,3.72
0.000272,-2.6,3.68
0.000274,-2.64,3.64
0.000276,-2.72,3.6
0.000278,-2.8,3.56
0.00028,-2.84,3.48
0.000282,-2.88,3.44
0.000284,-2.92,3.4
0.000286,-3,3.32
0.000288,-3.08,3.28
0.00029,-3.12,3.2
0.000292,-3.2,3.08
0.000294,-3.24,3.04
0.000296,-3.32,2.96
0.000298,-3.36,2.92
0.0003,-3.44,2.84
0.000302,-3.48,2.72
0.000304,-3.56,2.72
0.000306,-3.56,2.64
0.000308,-3.6,2.56
0.00031,-3.64,2.48
0.000312,-3.72,2.4
0.000314,-3.76,2.32
0.000316,-3.8,2.28
0.000318,-3.88,2.2
0.00032,-3.88,2.12
0.000322,-3.92,2.04
0.000324,-3.92,1.96
0.000326,-3.92,1.88
0.000328,-3.96,1.8
0.00033,-4,1.72
0.000332,-4,1.6
0.000334,-4.04,1.52
0.000336,-4.08,1.44
0.000338,-4.12,1.36
0.00034,-4.12,1.28
0.000342,-4.12,1.2
0.000344,-4.12,1.12
0.000346,-4.16,1.04
0.000348,-4.16,0.96
